		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24414.046875	M = 12500000	N = 8	m = 9	n = 100000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100100 24209 24557 24209 24614 24431 24727 24310 24304 11.255496 0.187638 SUCCESS 134
111100110 24334 24285 24391 24305 24374 24542 24389 24570  3.321866 0.912567 SUCCESS 135
111101000 24406 24139 24310 24428 24513 24406 24451 24271  5.017082 0.755749 SUCCESS 136
111101010 24126 24438 24181 24409 24256 24166 24017 24115 19.974309 0.010434 SUCCESS 137
111101100 24484 24467 24470 24536 24448 24485 24559 24606  3.802215 0.874513 SUCCESS 138
111101110 24234 24231 24484 24441 24286 24201 24553 24108 10.434945 0.235815 SUCCESS 139
111110000 24100 24072 24139 23812 23896 24474 23926 23838 63.368707 0.000000 FAILURE 140
111110010 24103 24294 24238 24253 24348 24348 24229 24155 11.784809 0.161067 SUCCESS 141
111110100 23987 24074 24107 23951 24073 23918 24351 24132 44.594854 0.000000 FAILURE 142
111110110 24086 24068 24199 24198 24157 24170 24220 24454 20.554929 0.008429 FAILURE 143
111111000 23952 24218 24286 24028 23824 24211 23942 24107 47.613369 0.000000 FAILURE 144
111111010 23970 23919 24098 23810 23894 23786 24068 24262 72.648972 0.000000 FAILURE 145
111111100 23941 24246 24255 24032 24044 24291 24154 24224 28.770648 0.000348 FAILURE 146
111111110 23915 23962 24025 23900 23937 23804 23944 23857 84.732229 0.000000 FAILURE 147

